date,avgr,p90,p10
2011,6.3,11.09,4.14
2012,8.02,10.99,4.99
2013,10.99,15.96,6.58
2014,7.49,12.66,3.51
2015,8,15.15,3.11
2016,8.07,14.05,2.72
2017,10.68,17.71,6.26
2018,8.16,16.29,3.93
2019,7.45,12.04,3.79
2020,7.84,9.81,5.52
2021,10.17,15.09,6.11
2022,9.21,12.82,5.38
2023,5.89,9.32,2.8
2024,7.51,10.88,4.33
2025,6.86,9.82,3.52
2026,9.01,11.67,5.31
2027,14.89,21.37,9.7
2028,10.55,15.97,4.64
2029,9.16,12.36,5.42
2030,8.64,12.48,4.75
2031,5.67,7.1,3.8
2032,9.61,15.71,5.87
2033,13.03,17.42,9.09
2034,7.91,10.2,5.38
2035,6.77,9.54,4.73
2036,10.59,14.04,6.28
2037,8.01,10.47,5.82
2038,9.09,12.88,5.72
2039,10.06,13.51,6.84
2040,9.37,15.76,4.97
