date,avgr,p90,p10
2011,19.43,22,15.81
2012,19.87,27.86,15.68
2013,22.51,25.83,19.02
2014,22.49,26.84,17.88
2015,21.75,26.72,17.77
2016,21.35,25.61,15.81
2017,21.11,26.63,16.36
2018,20.43,25.42,15.14
2019,24.92,28.29,20.77
2020,21.53,24.87,17.84
2021,23.52,27.43,19.45
2022,20.97,23.69,16.8
2023,20.41,23.87,15.91
2024,19.8,22.56,15.69
2025,19.42,21.14,17.13
2026,20.66,25.64,16
2027,24.33,27.23,20.76
2028,21.56,26.39,16.56
2029,21.1,25.24,16.91
2030,25.07,29.22,19.69
2031,21.1,24.32,17.76
2032,24.56,28.84,19.81
2033,22.36,26.11,19
2034,20.74,25.85,16.14
2035,20.86,24.75,18.15
2036,24.94,28.94,19.69
2037,22.33,25.55,18.56
2038,23.75,25.93,21.32
2039,24.9,28.61,19.86
2040,25.79,28.25,22.56
