date,avgr,p90,p10
2011,3.98,7.01,1.46
2012,3.59,8.42,0.43
2013,6.46,10.56,1.61
2014,2.93,7.44,-1.3
2015,7.47,10.38,3.74
2016,3.71,7.96,-2.45
2017,7.86,9.48,6.03
2018,3.51,9.23,-0.39
2019,4.92,8.99,1.04
2020,6.52,8.97,3.97
2021,8.15,11.7,2.74
2022,3.25,8.55,0.08
2023,7.32,10.41,4.03
2024,5.19,7.47,2.79
2025,4,8.18,-1.17
2026,4.05,8.86,-1.59
2027,6.21,10.37,2.28
2028,7.41,10.8,4.79
2029,4.68,8.1,0.91
2030,5.83,9.58,1.36
2031,4.15,7.15,1.32
2032,7.99,10.94,4.7
2033,5.51,8.87,2.01
2034,6.17,9.92,3.87
2035,8.71,12.84,3.28
2036,7.56,9.37,5.54
2037,5.33,8.39,3.22
2038,6.99,11.5,2.48
2039,8.19,10.7,5.39
2040,4.69,7.36,0.65
