date,avgr,p90,p10
2011,5.61,9.42,2.34
2012,4.76,8.97,2.1
2013,4.23,7.13,1.62
2014,6.11,9.49,3.32
2015,4.73,7.49,2.2
2016,2.74,5.78,-0.21
2017,4.85,7.37,2.73
2018,7.21,10.41,4.62
2019,6.99,10.35,3.53
2020,5.3,8.56,2.77
2021,6.49,9.28,3.5
2022,4.01,7.73,0.54
2023,5.35,9.65,2.12
2024,7.33,10.29,3.85
2025,6.59,8.72,4.32
2026,4.28,7.82,1.99
2027,5.31,9.5,-0.27
2028,4.57,7.02,2.09
2029,5.2,7.33,2.41
2030,5.48,9.36,2.54
2031,8.9,12.57,4.2
2032,5.87,8.72,3.68
2033,5.23,7.49,2.93
2034,5.73,8.56,2.75
2035,5.23,8.32,2.58
2036,4.48,8.79,-0.25
2037,4.92,7.32,2.51
2038,5.73,9.59,2.13
2039,4.58,7.71,1.66
2040,5.54,8.82,2.63
