date,avgr,p90,p10
2011,4.09,6.97,1.76
2012,4.32,6.83,1.65
2013,5.94,8.87,3.21
2014,2.79,7.36,-0.83
2015,3.35,6.45,0.52
2016,4.65,9.21,2.13
2017,3.19,9.61,-1.06
2018,4.4,7.01,1.28
2019,4.79,8.71,1.85
2020,4.49,7.98,1.6
2021,4.11,7.06,1.06
2022,5.03,7.8,2.55
2023,3.26,5.58,1.36
2024,-0.73,2.41,-4.31
2025,1.65,5.73,-1.53
2026,3.73,7.38,1
2027,6.11,10.86,-0.91
2028,5.96,9.09,3.5
2029,4.36,6.51,1.85
2030,1.71,3.68,-0.99
2031,5.67,10.03,1.94
2032,3.93,6.21,1.68
2033,6.8,9.87,3.61
2034,4.14,6.96,1.02
2035,4.99,7.99,1.99
2036,4.92,7.55,2.49
2037,6.51,9.32,3.54
2038,5.57,8.14,2.63
2039,5.75,9.36,2.16
2040,6.4,8.55,3.32
