date,avgr,p90,p10
2011,18.91,24.14,15.16
2012,18.76,21.97,15.46
2013,18.98,23.8,15.13
2014,20.56,26.72,15.18
2015,22.79,26.44,17.49
2016,19.67,25.26,15.06
2017,17.18,22.41,13.27
2018,16.97,20.46,13.57
2019,23.14,26.11,20.3
2020,20.59,22.92,16.5
2021,18.85,25.54,12.49
2022,20.66,26.63,16.28
2023,19.13,23.34,12.63
2024,17.16,22.69,13.31
2025,15.79,21.5,12.28
2026,22.6,26.39,18.07
2027,18.71,22.67,15.61
2028,20.27,25.48,15.23
2029,18.34,25.8,13.74
2030,22.29,26.3,17.38
2031,17.9,20.68,14.83
2032,20.99,26.07,15.37
2033,21.21,26.4,16.7
2034,19.43,24.43,15.22
2035,17.38,23.28,14.25
2036,23.93,30.96,19.68
2037,22.76,27.29,18.57
2038,21.48,24.76,18.94
2039,23.84,30.18,17.03
2040,20.01,25.16,14.47
