date,avgr,p90,p10
2011,13.55,19.17,8.55
2012,14.46,19.5,10.37
2013,16.95,22.19,10.75
2014,14.26,18.34,9.77
2015,14.85,19.26,10.84
2016,16.74,21.72,11.22
2017,13.55,16.92,10.87
2018,13.36,16.14,10.38
2019,21.37,24.13,18.11
2020,15.15,18.87,11.79
2021,13.08,15.85,9.58
2022,14.66,17.76,11.25
2023,15.63,21.47,9.97
2024,14,17.98,9.86
2025,14.9,16.94,12.22
2026,17.8,22.51,10.98
2027,17.16,22.18,13.76
2028,17.17,23.34,11.43
2029,14.58,17.98,10.03
2030,17.76,24.15,13.67
2031,13.49,16.91,9.72
2032,13.66,16.81,11.35
2033,18.17,20.92,15.56
2034,15.34,19.88,11.48
2035,15.15,21.62,9.16
2036,16.12,18.75,12.92
2037,15.03,18.86,10.78
2038,14.86,20.21,9.82
2039,19.76,24.15,15.24
2040,14.91,19.93,9.17
