date,avgr,p90,p10
2011,9.57,12.78,4.78
2012,9.53,11.59,6.84
2013,10.79,14.61,7.19
2014,12.39,15.17,8.69
2015,11,16.64,5.62
2016,16.11,19.67,10.93
2017,14.45,19.52,7.98
2018,11.43,18.31,6.63
2019,8.93,13.6,5.13
2020,11.61,16.45,7.45
2021,10.13,13.7,6.3
2022,15.48,19.38,11.11
2023,8.82,12.56,4.41
2024,8.98,11.57,6.48
2025,11.46,17.61,6.75
2026,14.4,17.3,11.69
2027,10.48,14.32,7.88
2028,10.15,14.21,7.03
2029,11.91,18.64,6.6
2030,16.06,18.34,13.68
2031,12.04,17.89,6.73
2032,12.06,18.95,6.33
2033,12.42,16.08,7.05
2034,9.87,16.97,6.17
2035,7.72,10.14,5.33
2036,11.83,17.89,7.3
2037,12.57,17.33,8.14
2038,12.07,15.36,9.81
2039,15.21,20.24,9.75
2040,10.31,13.5,6.98
