date,avgr,p90,p10
2011,6.53,9.79,3.65
2012,7.61,11.6,4.98
2013,7.01,11.9,3.28
2014,6.19,10.05,2.3
2015,8.18,11.42,4.51
2016,5.27,8.26,2.68
2017,6.56,9.3,3.55
2018,7.55,12.73,3.71
2019,6.83,11.54,3.48
2020,7.6,10.07,5.34
2021,6.43,10.49,3.51
2022,8.78,12.99,3.8
2023,5.93,10.92,1.99
2024,6.72,10.55,4.17
2025,7.77,10.78,5.73
2026,7.06,9.8,3.84
2027,4.65,8.55,-0.25
2028,5.06,9.12,2.86
2029,5.61,10.14,2.23
2030,8.42,12.51,5.14
2031,6.89,11.54,2.6
2032,6.23,9.93,2.98
2033,8.22,12.01,3.89
2034,6.88,10.03,4.91
2035,5.46,8.22,2.33
2036,8.63,13.86,4.28
2037,10.58,15.2,6.47
2038,5.6,10.53,2.36
2039,8.62,12.8,4.37
2040,9.11,11.95,5.99
