date,avgr,p90,p10
2011,6.63,9.92,4.52
2012,10.29,14.05,5.23
2013,7.95,10.22,5.17
2014,6.05,8.99,2.75
2015,7.71,10.24,6.01
2016,6.57,9.49,3.97
2017,8.11,11.03,5.14
2018,9.4,12.4,5.53
2019,7.14,12.59,-0.44
2020,8.67,11,6.16
2021,8.66,12.18,5.9
2022,8.2,11.22,4.81
2023,8.26,10.98,6.03
2024,6.71,9.35,3.73
2025,7.99,17.22,2.26
2026,9.31,11.78,6.28
2027,6.52,9.33,3.13
2028,7.39,9.84,4.62
2029,8.19,10.19,5.31
2030,7.25,11.54,2.25
2031,6.55,9.49,3.71
2032,9.26,12.2,6.62
2033,4.94,8.48,0.76
2034,7.06,11.3,2.99
2035,8.37,11.52,5.29
2036,10.35,13.08,7.37
2037,7.38,10.06,4.31
2038,8.03,13.58,2.28
2039,11.11,15.21,6.9
2040,5.82,8.44,3.13
