date,avgr,p90,p10
2011,12.36,17.05,7.48
2012,11.03,16.01,6.57
2013,10.62,16.49,5.45
2014,12.7,17.2,6.94
2015,10.7,12.99,8.11
2016,9.8,13.78,4.51
2017,10.83,14.71,6.08
2018,15.19,19.63,11.58
2019,10.93,15.02,8.86
2020,8.89,12.52,6.65
2021,14.2,16.29,10.05
2022,13.67,17.48,9.15
2023,10.65,14.91,7.57
2024,12.35,15.72,9.36
2025,9.96,14.03,6.75
2026,11.66,13.89,9.32
2027,13.26,16.94,8.95
2028,13.36,16.9,9.62
2029,13.38,17.91,8.52
2030,10.06,12.36,7.11
2031,11.05,16.32,7.59
2032,11.87,15.16,7.65
2033,15.25,17.75,13.06
2034,11.97,16.82,7.5
2035,13.86,18.57,9.4
2036,14.14,16.74,11.27
2037,14.05,16.76,10.74
2038,11.7,14.43,8.48
2039,15.85,23.9,9.18
2040,15,19.51,11.04
