date,avgr,p90,p10
2011,17.44,21.56,12.61
2012,21.71,24.06,18.82
2013,18.25,25.21,12.69
2014,16.56,19.64,11.85
2015,18.54,23.23,13.67
2016,14.48,16.81,10.95
2017,17.91,24.18,12.59
2018,17.27,21.75,12.63
2019,19.03,21.97,16.15
2020,14.53,17.8,10.01
2021,19.47,25.38,15.2
2022,16.35,20.66,12.8
2023,20.34,24.78,16.68
2024,19.11,23.37,15.08
2025,16.38,22.24,12.59
2026,16.53,20.38,11.82
2027,18.59,24.34,14.1
2028,17.76,20.35,14.48
2029,23.01,27.7,17.3
2030,20,28.78,13.17
2031,20.81,25.49,15.94
2032,18.15,22.05,13.02
2033,19.33,23.04,16.12
2034,17.27,20.93,14.45
2035,17.3,19.56,15.16
2036,16.19,19.34,13.82
2037,20.63,25.55,16.44
2038,19.76,24.91,15.2
2039,19.04,24.97,14.1
2040,21.69,26.49,16.37
